name,address,lon,lat,raw_keyword,raw_type,source,poi_id,category,classification_reason,is_urban_production,is_traditional_factory,is_industrial_space,distance_to_people_square_km,center_zone,is_inner_center,distance_to_central_core_km,distance_to_xujiahui_km,distance_to_wujiaochang_km,distance_to_zhangjiang_km,distance_to_hongqiao_km,distance_to_qiantan_km,nearest_center,nearest_center_label_zh,distance_to_nearest_center_km,nearest_center_zone,polycentric_centrality_score
云昊木华定制工厂,航塘公路4677号,121.610897,30.910121,工厂,公司企业;公司;公司,amap,P00069,traditional_factory,命中传统制造关键词「工厂」,0,1,0,37.935,outer,0,38.1278,35.1175,44.7338,32.6866,42.0475,29.9651,qiantan,前滩,29.9651,far_from_centers,0.0172
上海吉思特全屋定制工厂,新奉公路3535号,121.644857,30.966324,工厂,公司企业;工厂;工厂,amap,P00070,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.583,outer,0,33.5481,31.6692,39.5281,26.9197,40.0017,26.3715,qiantan,前滩,26.3715,far_from_centers,0.0351
凤铝门窗工厂直营店,新奉公路4841号,121.645698,30.943207,工厂,购物服务;家居建材市场;建材五金市场,amap,P00071,traditional_factory,命中传统制造关键词「五金」,0,1,0,35.8897,outer,0,35.9017,33.7614,42.001,29.4565,41.7445,28.4803,qiantan,前滩,28.4803,far_from_centers,0.024
画宝刚烧鸡上海工厂,宣秋路与宣竹路交叉口西180米,121.713325,31.089275,工厂,公司企业;公司企业;公司企业,amap,P00072,traditional_factory,命中传统制造关键词「工厂」,0,1,0,27.6791,outer,0,26.9835,28.5371,30.438,17.4412,39.1868,23.9114,zhangjiang,张江,17.4412,far_from_centers,0.1007
福庆全屋定制工厂,大叶公路8169号,121.679638,30.986092,工厂,公司企业;工厂;工厂,amap,P00073,traditional_factory,命中传统制造关键词「工厂」,0,1,0,33.502,outer,0,33.29,32.269,38.6679,25.7037,41.3351,26.992,zhangjiang,张江,25.7037,far_from_centers,0.036
上海裳界服饰西装定制工厂,四海时装有限公司对面57号,121.724486,30.942032,工厂,公司企业;工厂;工厂|公司企业;公司;公司,amap,P00074,traditional_factory,命中传统制造关键词「工厂」,0,1,0,39.9812,outer,0,39.7412,38.7546,44.9207,31.853,47.6561,33.4701,zhangjiang,张江,31.853,far_from_centers,0.0125
5号工厂,永春东路30弄28号,121.745977,30.973935,工厂,公司企业;工厂;工厂,amap,P00075,traditional_factory,命中传统制造关键词「工厂」,0,1,0,38.5394,outer,0,38.1569,37.8965,42.7866,29.6392,47.3852,32.6934,zhangjiang,张江,29.6392,far_from_centers,0.0162
马氏家具工厂,欢民路518家具工厂,121.750499,31.021756,工厂,公司企业;工厂;工厂,amap,P00077,traditional_factory,命中传统制造关键词「工厂」,0,1,0,35.1061,outer,0,34.567,35.1537,38.57,25.4647,45.239,30.1381,zhangjiang,张江,25.4647,far_from_centers,0.0291
长三角砂粉超级工厂,新浜镇林天路218号松江物流产业园,121.083535,30.943236,工厂,公司企业;工厂;工厂,amap,P00078,industrial_space,命中产业/园区关键词「产业园」,0,0,1,48.9898,outer,0,50.4434,43.3118,57.3828,56.0494,35.9509,43.8056,hongqiao,虹桥,35.9509,far_from_centers,0.0043
上海九駲铝业全铝定制工厂,嘉定嘉秀路88号,121.283417,31.312797,工厂,公司企业;工厂;工厂,amap,P00079,traditional_factory,命中传统制造关键词「工厂」,0,1,0,20.273,outer,0,21.2004,20.0904,21.9949,31.3684,13.5752,25.3713,hongqiao,虹桥,13.5752,far_from_centers,0.214
